loss,weight_order,prod_distance_order,time_delivery_order,lambda
9482156200,2,3,4,0.6,592852.2312316989 91212.67793768887 -7875.477653146009 -30466.355559931188 27864.39831643192 12638.302469211749 -1782.2860445464955 78991.23000753233 660.5268991800762 -28150.124710726428
9482157184,2,3,4,0.8,592852.1512009851 91212.6781221133 -7875.472335796098 -30466.356611793526 27864.401059783395 12638.302640979164 -1782.2908897515092 78991.42391654481 660.5294540864684 -28150.194717217553
9482156327,2,3,4,1.0,592852.228304156 91212.6779077679 -7875.477209796076 -30466.37257736128 27864.398353717937 12638.309634756692 -1782.2957919417775 78991.23543459548 660.5317103892245 -28150.12659801583
9421118039,2,4,1,0.0,609596.8940453007 90977.41297946675 -9859.013285969988 -36420.17041467984 75785.88625438894 16025.4116889457 -16308.618061887631 -652.058821301126
9421118562,2,4,1,0.2,609596.8586041456 90977.41265239424 -9859.010418903752 -36420.18753340375 75785.9730717823 16025.420192863185 -16308.645963551326 -652.058867808518
9421118589,2,4,1,0.4,609596.8559532221 90977.41262856069 -9859.010259422244 -36420.18634059295 75785.97968878919 16025.419788006173 -16308.648067512495 -652.0588955573937
9421118439,2,4,1,0.6,609596.8754251372 90977.4127986699 -9859.01218987856 -36420.19987037157 75785.93496043421 16025.424841878114 -16308.633998383333 -652.0586306538593
9421117817,2,4,1,0.8,609596.9141539038 90977.41315962205 -9859.015172962845 -36420.17293128166 75785.83891677238 16025.412056114144 -16308.603019292132 -652.0586661167209
9421118618,2,4,1,1.0,609596.8776057842 90977.41280300706 -9859.013335112908 -36420.23184727055 75785.93607085757 16025.438364447074 -16308.634846386147 -652.0582755322107
9436058277,2,4,2,0.0,601228.5856049424 90956.06254762424 -7957.628641694974 -36040.55015085212 78931.70522680496 15892.117768136708 -17080.604531776793 -704.686525801523 3700.6945631304047
9436058978,2,4,2,0.2,601228.5365421759 90956.06214155281 -7957.624336581096 -36040.57423269376 78931.81213858652 15892.129502260366 -17080.63883466291 -704.6865692587522 3700.698586102408
9436058980,2,4,2,0.4,601228.5325843173 90956.06208852038 -7957.6251185946785 -36040.55724775447 78931.82938936443 15892.122608426549 -17080.6443165677 -704.6867569510281 3700.6976033575697
9436059511,2,4,2,0.6,601228.503403532 90956.06184256676 -7957.62260858746 -36040.59258824012 78931.89391311753 15892.138469461632 -17080.66526185772 -704.6865666274875 3700.700119472617
9436058833,2,4,2,0.8,601228.5537794416 90956.06226064665 -7957.626905530671 -36040.57660027467 78931.78336537085 15892.130094672113 -17080.629872927537 -704.6864334203268 3700.6961871330204
